k,i,j,max_proved,status,reason
37,3,14,10000000,OK,Cycle
37,3,15,10000000,OK,Cycle
37,3,16,10000000,OK,Cycle
37,3,17,10000000,OK,Cycle
37,3,18,10000000,OK,Cycle
37,3,19,10000000,OK,Cycle
37,3,20,10000000,OK,Cycle
37,3,21,10000000,OK,Cycle
37,3,22,10000000,OK,Cycle
37,3,23,10000000,OK,Cycle
37,3,24,10000000,OK,Cycle
37,3,25,10000000,OK,Cycle
37,3,26,10000000,OK,Cycle
37,3,27,10000000,OK,Cycle
37,3,28,10000000,OK,Cycle
37,3,29,10000000,OK,Cycle
37,3,30,10000000,OK,Cycle
37,3,31,10000000,OK,Cycle
37,3,32,10000000,OK,Cycle
37,3,33,10000000,OK,Cycle
37,3,34,10000000,OK,Cycle
37,3,35,10000000,OK,Cycle
37,3,36,10000000,OK,Cycle
37,3,37,10000000,OK,Cycle
37,3,38,10000000,OK,Cycle
37,3,39,10000000,OK,Cycle
37,3,40,10000000,OK,Cycle
37,3,41,10000000,OK,Cycle
37,3,42,10000000,OK,Cycle
37,3,43,10000000,OK,Cycle
37,3,44,10000000,OK,Cycle
37,3,45,10000000,OK,Cycle
37,3,46,10000000,OK,Cycle
37,3,47,10000000,OK,Cycle
37,3,48,10000000,OK,Cycle
37,3,49,10000000,OK,Cycle
37,3,50,10000000,OK,Cycle
37,3,51,10000000,OK,Cycle
37,3,52,10000000,OK,Cycle
37,3,53,10000000,OK,Cycle
37,3,54,10000000,OK,Cycle
37,3,55,10000000,OK,Cycle
37,3,56,10000000,OK,Cycle
37,3,57,10000000,OK,Cycle
37,3,58,10000000,OK,Cycle
37,3,59,10000000,OK,Cycle
37,3,60,10000000,OK,Cycle
37,3,61,10000000,OK,Cycle
37,3,62,10000000,OK,Cycle
37,3,63,10000000,OK,Cycle
37,3,64,10000000,OK,Cycle
37,3,65,10000000,OK,Cycle
37,3,66,10000000,OK,Cycle
37,3,67,10000000,OK,Cycle
37,3,68,10000000,OK,Cycle
37,3,69,10000000,OK,Cycle
37,3,70,10000000,OK,Cycle
37,3,71,10000000,OK,Cycle
37,3,72,10000000,OK,Cycle
37,3,73,10000000,OK,Cycle
37,4,0,365,FAILED,divergence_threshold
37,4,1,79,FAILED,divergence_threshold
37,4,2,0,FAILED,divergence_threshold
37,4,3,778,FAILED,divergence_threshold
37,4,4,471,FAILED,divergence_threshold
37,4,5,397,FAILED,divergence_threshold
37,4,6,28,FAILED,divergence_threshold
37,4,7,4,FAILED,divergence_threshold
37,4,8,3,FAILED,divergence_threshold
37,4,9,2,FAILED,divergence_threshold
37,4,10,0,FAILED,divergence_threshold
37,4,11,28,FAILED,divergence_threshold
37,4,12,1,FAILED,divergence_threshold
37,4,13,9,FAILED,divergence_threshold
37,4,14,1,FAILED,divergence_threshold
37,4,15,0,FAILED,divergence_threshold
37,4,16,10,FAILED,divergence_threshold
37,4,17,4,FAILED,divergence_threshold
37,4,18,1,FAILED,divergence_threshold
37,4,19,2,FAILED,divergence_threshold
37,4,20,12,FAILED,divergence_threshold
37,4,21,0,FAILED,divergence_threshold
37,4,22,3,FAILED,divergence_threshold
37,4,23,51,FAILED,divergence_threshold
37,4,24,0,FAILED,divergence_threshold
37,4,25,0,FAILED,divergence_threshold
37,4,26,1,FAILED,divergence_threshold
37,4,27,2,FAILED,divergence_threshold
37,4,28,12,FAILED,divergence_threshold
37,4,29,15,FAILED,divergence_threshold
37,4,30,0,FAILED,divergence_threshold
37,4,31,0,FAILED,divergence_threshold
37,4,32,2,FAILED,divergence_threshold
37,4,33,0,FAILED,divergence_threshold
37,4,34,6,FAILED,divergence_threshold
37,4,35,2,FAILED,divergence_threshold
37,4,36,44,FAILED,divergence_threshold
37,4,37,2,FAILED,divergence_threshold
37,4,38,0,FAILED,divergence_threshold
37,4,39,0,FAILED,divergence_threshold
37,4,40,3069,FAILED,divergence_threshold
37,4,41,1,FAILED,divergence_threshold
37,4,42,1,FAILED,divergence_threshold
37,4,43,5,FAILED,divergence_threshold
37,4,44,1,FAILED,divergence_threshold
37,4,45,3,FAILED,divergence_threshold
37,4,46,0,FAILED,divergence_threshold
37,4,47,0,FAILED,divergence_threshold
37,4,48,2,FAILED,divergence_threshold
37,4,49,1,FAILED,divergence_threshold
37,4,50,4,FAILED,divergence_threshold
37,4,51,2,FAILED,divergence_threshold
37,4,52,1,FAILED,divergence_threshold
37,4,53,0,FAILED,divergence_threshold
37,4,54,2,FAILED,divergence_threshold
37,4,55,1,FAILED,divergence_threshold
37,4,56,3,FAILED,divergence_threshold
37,4,57,0,FAILED,divergence_threshold
37,4,58,3,FAILED,divergence_threshold
37,4,59,0,FAILED,divergence_threshold
37,4,60,9,FAILED,divergence_threshold
37,4,61,2,FAILED,divergence_threshold
37,4,62,2,FAILED,divergence_threshold
37,4,63,5,FAILED,divergence_threshold
37,4,64,5,FAILED,divergence_threshold
37,4,65,2,FAILED,divergence_threshold
37,4,66,1,FAILED,divergence_threshold
37,4,67,0,FAILED,divergence_threshold
37,4,68,1,FAILED,divergence_threshold
37,4,69,2,FAILED,divergence_threshold
37,4,70,0,FAILED,divergence_threshold
37,4,71,0,FAILED,divergence_threshold
37,4,72,6,FAILED,divergence_threshold
37,4,73,2,FAILED,divergence_threshold
41,1,0,10000000,OK,Cycle
41,1,1,10000000,OK,Cycle
41,1,2,10000000,OK,Cycle
41,1,3,10000000,OK,Cycle
41,1,4,10000000,OK,Cycle
41,1,5,10000000,OK,Cycle
41,1,6,10000000,OK,Cycle
41,1,7,10000000,OK,Cycle
41,1,8,10000000,OK,Cycle
41,1,9,10000000,OK,Cycle
41,1,10,10000000,OK,Cycle
41,1,11,10000000,OK,Cycle
41,1,12,10000000,OK,Cycle
41,1,13,10000000,OK,Cycle
41,1,14,10000000,OK,Cycle
41,1,15,10000000,OK,Cycle
41,1,16,10000000,OK,Cycle
41,1,17,10000000,OK,Cycle
41,1,18,10000000,OK,Cycle
41,1,19,10000000,OK,Cycle
41,1,20,10000000,OK,Cycle
41,1,21,10000000,OK,Cycle
41,1,22,10000000,OK,Cycle
41,1,23,10000000,OK,Cycle
41,1,24,10000000,OK,Cycle
41,1,25,10000000,OK,Cycle
41,1,26,10000000,OK,Cycle
41,1,27,10000000,OK,Cycle
41,1,28,10000000,OK,Cycle
41,1,29,10000000,OK,Cycle
41,1,30,10000000,OK,Cycle
41,1,31,10000000,OK,Cycle
41,1,32,10000000,OK,Cycle
41,1,33,10000000,OK,Cycle
41,1,34,10000000,OK,Cycle
41,1,35,10000000,OK,Cycle
41,1,36,10000000,OK,Cycle
41,1,37,10000000,OK,Cycle
41,1,38,10000000,OK,Cycle
41,1,39,10000000,OK,Cycle
41,1,40,10000000,OK,Cycle
41,1,41,10000000,OK,Cycle
41,1,42,10000000,OK,Cycle
41,1,43,10000000,OK,Cycle
41,1,44,10000000,OK,Cycle
41,1,45,10000000,OK,Cycle
41,1,46,10000000,OK,Cycle
41,1,47,10000000,OK,Cycle
41,1,48,10000000,OK,Cycle
41,1,49,10000000,OK,Cycle
41,1,50,10000000,OK,Cycle
41,1,51,10000000,OK,Cycle
41,1,52,10000000,OK,Cycle
41,1,53,10000000,OK,Cycle
41,1,54,10000000,OK,Cycle
41,1,55,10000000,OK,Cycle
41,1,56,10000000,OK,Cycle
41,1,57,10000000,OK,Cycle
41,1,58,10000000,OK,Cycle
41,1,59,10000000,OK,Cycle
41,1,60,10000000,OK,Cycle
41,1,61,10000000,OK,Cycle
41,1,62,10000000,OK,Cycle
41,1,63,10000000,OK,Cycle
41,1,64,10000000,OK,Cycle
41,1,65,10000000,OK,Cycle
41,1,66,10000000,OK,Cycle
41,1,67,10000000,OK,Cycle
41,1,68,10000000,OK,Cycle
41,1,69,10000000,OK,Cycle
41,1,70,10000000,OK,Cycle
41,1,71,10000000,OK,Cycle
41,1,72,10000000,OK,Cycle
41,1,73,10000000,OK,Cycle
41,1,74,10000000,OK,Cycle
41,1,75,10000000,OK,Cycle
41,1,76,10000000,OK,Cycle
41,1,77,10000000,OK,Cycle
41,1,78,10000000,OK,Cycle
41,1,79,10000000,OK,Cycle
41,1,80,10000000,OK,Cycle
41,1,81,10000000,OK,Cycle
41,2,0,10000000,OK,Cycle
41,2,1,10000000,OK,Cycle
41,2,2,10000000,OK,Cycle
41,2,3,10000000,OK,Cycle
41,2,4,10000000,OK,Cycle
41,2,5,10000000,OK,Cycle
41,2,6,10000000,OK,Cycle
41,2,7,10000000,OK,Cycle
41,2,8,10000000,OK,Cycle
41,2,9,10000000,OK,Cycle
41,2,10,10000000,OK,Cycle
41,2,11,10000000,OK,Cycle
41,2,12,10000000,OK,Cycle
41,2,13,10000000,OK,Cycle
41,2,14,10000000,OK,Cycle
41,2,15,10000000,OK,Cycle
41,2,16,10000000,OK,Cycle
41,2,17,10000000,OK,Cycle
41,2,18,10000000,OK,Cycle
41,2,19,10000000,OK,Cycle
41,2,20,10000000,OK,Cycle
41,2,21,10000000,OK,Cycle
41,2,22,10000000,OK,Cycle
41,2,23,10000000,OK,Cycle
41,2,24,10000000,OK,Cycle
41,2,25,10000000,OK,Cycle
41,2,26,10000000,OK,Cycle
41,2,27,10000000,OK,Cycle
41,2,28,10000000,OK,Cycle
41,2,29,10000000,OK,Cycle
41,2,30,10000000,OK,Cycle
41,2,31,10000000,OK,Cycle
41,2,32,10000000,OK,Cycle
41,2,33,10000000,OK,Cycle
41,2,34,10000000,OK,Cycle
41,2,35,10000000,OK,Cycle
41,2,36,10000000,OK,Cycle
41,2,37,10000000,OK,Cycle
41,2,38,10000000,OK,Cycle
41,2,39,10000000,OK,Cycle
41,2,40,10000000,OK,Cycle
41,2,41,10000000,OK,Cycle
41,2,42,10000000,OK,Cycle
41,2,43,10000000,OK,Cycle
41,2,44,10000000,OK,Cycle
41,2,45,10000000,OK,Cycle
41,2,46,10000000,OK,Cycle
41,2,47,10000000,OK,Cycle
41,2,48,10000000,OK,Cycle
41,2,49,10000000,OK,Cycle
41,2,50,10000000,OK,Cycle
41,2,51,10000000,OK,Cycle
41,2,52,10000000,OK,Cycle
41,2,53,10000000,OK,Cycle
41,2,54,10000000,OK,Cycle
41,2,55,10000000,OK,Cycle
41,2,56,10000000,OK,Cycle
41,2,57,10000000,OK,Cycle
41,2,58,10000000,OK,Cycle
41,2,59,10000000,OK,Cycle
41,2,60,10000000,OK,Cycle
41,2,61,10000000,OK,Cycle
41,2,62,10000000,OK,Cycle
41,2,63,10000000,OK,Cycle
41,2,64,10000000,OK,Cycle
41,2,65,10000000,OK,Cycle
41,2,66,10000000,OK,Cycle
41,2,67,10000000,OK,Cycle
41,2,68,10000000,OK,Cycle
41,2,69,10000000,OK,Cycle
41,2,70,10000000,OK,Cycle
41,2,71,10000000,OK,Cycle
41,2,72,10000000,OK,Cycle
41,2,73,10000000,OK,Cycle
41,2,74,10000000,OK,Cycle
41,2,75,10000000,OK,Cycle
41,2,76,10000000,OK,Cycle
41,2,77,10000000,OK,Cycle
41,2,78,10000000,OK,Cycle
41,2,79,10000000,OK,Cycle
41,2,80,10000000,OK,Cycle
41,2,81,10000000,OK,Cycle
41,3,0,10000000,OK,Cycle
41,3,1,10000000,OK,Cycle
41,3,2,10000000,OK,Cycle
41,3,3,10000000,OK,Cycle
41,3,4,10000000,OK,Cycle
41,3,5,10000000,OK,Cycle
41,3,6,10000000,OK,Cycle
41,3,7,10000000,OK,Cycle
41,3,8,10000000,OK,Cycle
41,3,9,10000000,OK,Cycle
41,3,10,10000000,OK,Cycle
41,3,11,10000000,OK,Cycle
41,3,12,10000000,OK,Cycle
41,3,13,10000000,OK,Cycle
41,3,14,10000000,OK,Cycle
41,3,15,10000000,OK,Cycle
41,3,16,10000000,OK,Cycle
41,3,17,10000000,OK,Cycle
41,3,18,10000000,OK,Cycle
41,3,19,10000000,OK,Cycle
41,3,20,10000000,OK,Cycle
41,3,21,10000000,OK,Cycle
41,3,22,10000000,OK,Cycle
41,3,23,10000000,OK,Cycle
41,3,24,10000000,OK,Cycle
41,3,25,10000000,OK,Cycle
41,3,26,10000000,OK,Cycle
41,3,27,10000000,OK,Cycle
41,3,28,10000000,OK,Cycle
41,3,29,10000000,OK,Cycle
41,3,30,10000000,OK,Cycle
41,3,31,10000000,OK,Cycle
41,3,32,10000000,OK,Cycle
41,3,33,10000000,OK,Cycle
41,3,34,10000000,OK,Cycle
41,3,35,10000000,OK,Cycle
41,3,36,10000000,OK,Cycle
41,3,37,10000000,OK,Cycle
41,3,38,10000000,OK,Cycle
41,3,39,10000000,OK,Cycle
41,3,40,10000000,OK,Cycle
41,3,41,10000000,OK,Cycle
41,3,42,10000000,OK,Cycle
41,3,43,10000000,OK,Cycle
41,3,44,10000000,OK,Cycle
41,3,45,10000000,OK,Cycle
41,3,46,10000000,OK,Cycle
41,3,47,10000000,OK,Cycle
41,3,48,10000000,OK,Cycle
41,3,49,10000000,OK,Cycle
41,3,50,10000000,OK,Cycle
41,3,51,10000000,OK,Cycle
41,3,52,10000000,OK,Cycle
41,3,53,10000000,OK,Cycle
41,3,54,10000000,OK,Cycle
41,3,55,10000000,OK,Cycle
41,3,56,10000000,OK,Cycle
41,3,57,10000000,OK,Cycle
41,3,58,10000000,OK,Cycle
41,3,59,10000000,OK,Cycle
41,3,60,10000000,OK,Cycle
41,3,61,10000000,OK,Cycle
41,3,62,10000000,OK,Cycle
41,3,63,10000000,OK,Cycle
41,3,64,10000000,OK,Cycle
41,3,65,10000000,OK,Cycle
41,3,66,10000000,OK,Cycle
41,3,67,10000000,OK,Cycle
41,3,68,10000000,OK,Cycle
41,3,69,10000000,OK,Cycle
41,3,70,10000000,OK,Cycle
41,3,71,10000000,OK,Cycle
41,3,72,10000000,OK,Cycle
41,3,73,10000000,OK,Cycle
41,3,74,10000000,OK,Cycle
41,3,75,10000000,OK,Cycle
41,3,76,10000000,OK,Cycle
41,3,77,10000000,OK,Cycle
41,3,78,10000000,OK,Cycle
41,3,79,10000000,OK,Cycle
41,3,80,10000000,OK,Cycle
41,3,81,10000000,OK,Cycle
41,4,0,89,FAILED,divergence_threshold
41,4,1,7328,FAILED,divergence_threshold
41,4,2,13723,FAILED,divergence_threshold
41,4,3,11462,FAILED,divergence_threshold
41,4,4,17541,FAILED,divergence_threshold
41,4,5,3,FAILED,divergence_threshold
41,4,6,11235,FAILED,divergence_threshold
41,4,7,1,FAILED,divergence_threshold
41,4,8,732009,FAILED,divergence_threshold
41,4,9,24797,FAILED,divergence_threshold
41,4,10,1890,FAILED,divergence_threshold
41,4,11,559,FAILED,divergence_threshold
41,4,12,738,FAILED,divergence_threshold
41,4,13,6468,FAILED,divergence_threshold
41,4,14,116272,FAILED,divergence_threshold
41,4,15,132,FAILED,divergence_threshold
41,4,16,2783,FAILED,divergence_threshold
41,4,17,4792,FAILED,divergence_threshold
41,4,18,30,FAILED,divergence_threshold
41,4,19,113403,FAILED,divergence_threshold
41,4,20,23,FAILED,divergence_threshold
41,4,21,2903,FAILED,divergence_threshold
41,4,22,23,FAILED,divergence_threshold
41,4,23,6300,FAILED,divergence_threshold
41,4,24,71005,FAILED,divergence_threshold
41,4,25,4,FAILED,divergence_threshold
41,4,26,24147,FAILED,divergence_threshold
41,4,27,149,FAILED,divergence_threshold
41,4,28,7,FAILED,divergence_threshold
41,4,29,59077,FAILED,divergence_threshold
41,4,30,188,FAILED,divergence_threshold
41,4,31,317,FAILED,divergence_threshold
41,4,32,5847,FAILED,divergence_threshold
41,4,33,44,FAILED,divergence_threshold
41,4,34,57,FAILED,divergence_threshold
41,4,35,17,FAILED,divergence_threshold
41,4,36,13,FAILED,divergence_threshold
41,4,37,10,FAILED,divergence_threshold
41,4,38,340,FAILED,divergence_threshold
41,4,39,6923,FAILED,divergence_threshold
41,4,40,60,FAILED,divergence_threshold
41,4,41,10809,FAILED,divergence_threshold
41,4,42,74,FAILED,divergence_threshold
41,4,43,16,FAILED,divergence_threshold
41,4,44,460182,FAILED,divergence_threshold
41,4,45,2,FAILED,divergence_threshold
41,4,46,10,FAILED,divergence_threshold
41,4,47,26719,FAILED,divergence_threshold
41,4,48,19,FAILED,divergence_threshold
41,4,49,0,FAILED,divergence_threshold
41,4,50,72,FAILED,divergence_threshold
41,4,51,47,FAILED,divergence_threshold
41,4,52,0,FAILED,divergence_threshold
41,4,53,62808,FAILED,divergence_threshold
41,4,54,38,FAILED,divergence_threshold
41,4,55,11,FAILED,divergence_threshold
41,4,56,2857,FAILED,divergence_threshold
41,4,57,21,FAILED,divergence_threshold
41,4,58,14,FAILED,divergence_threshold
41,4,59,36775,FAILED,divergence_threshold
41,4,60,5,FAILED,divergence_threshold
41,4,61,0,FAILED,divergence_threshold
41,4,62,2496,FAILED,divergence_threshold
41,4,63,18,FAILED,divergence_threshold
41,4,64,30,FAILED,divergence_threshold
41,4,65,30,FAILED,divergence_threshold
41,4,66,0,FAILED,divergence_threshold
41,4,67,6,FAILED,divergence_threshold
41,4,68,6,FAILED,divergence_threshold
41,4,69,43206,FAILED,divergence_threshold
41,4,70,1,FAILED,divergence_threshold
41,4,71,13444,FAILED,divergence_threshold
41,4,72,101,FAILED,divergence_threshold
41,4,73,25,FAILED,divergence_threshold
41,4,74,97453,FAILED,divergence_threshold
41,4,75,0,FAILED,divergence_threshold
41,4,76,1127,FAILED,divergence_threshold
41,4,77,5,FAILED,divergence_threshold
41,4,78,12,FAILED,divergence_threshold
41,4,79,101,FAILED,divergence_threshold
41,4,80,77610,FAILED,divergence_threshold
41,4,81,42,FAILED,divergence_threshold
